0,1,2,3,4,5,6,class
0.45,1.0,0.0,0.0,1.1333334,0.5906041,0.79999995,im
-0.45,-0.35294122,0.0,0.0,0.2666664,-0.3489933,-0.057142887,cp
-0.4833334,0.17647061,0.0,0.0,0.8,0.6979866,0.8857143,im
-0.21666667,-0.6470588,0.0,0.0,0.2666664,-0.26845637,0.028571403,cp
-0.5166667,-1.1764706,0.0,0.0,-0.5333334,-0.26845637,0.028571403,cp
0.016666653,0.52941185,0.0,0.0,1.4666665,0.4295303,0.65714294,im
1.15,0.3529414,0.0,0.0,1.7333332,1.2617451,0.7714285,imU
0.38333338,-0.70588225,0.0,0.0,0.0,-0.26845637,0.028571403,cp
-0.7166667,-0.5882353,0.0,0.0,0.0666666,-0.3221476,-0.028571486,cp
0.68333334,0.94117653,0.0,0.0,-0.1333334,0.16107385,0.11428569,pp
-0.4833334,-0.6470588,0.0,0.0,-1.2666667,-0.295302,0.0,cp
-1.3166667,0.058823653,0.0,0.0,-0.5333334,0.5906041,-0.62857145,im
0.31666657,0.47058836,0.0,0.0,0.4,0.9395974,1.1142857,im
-0.18333337,-0.82352936,0.0,0.0,-1.2666667,-0.3221476,0.0,cp
-0.75,-1.0588235,0.0,0.0,1.4666665,-0.45637584,-0.114285775,cp
0.11666656,-0.35294122,0.0,0.0,-2.2,-0.42953023,-0.114285775,cp
0.65000004,1.0,0.0,0.0,0.9333332,0.080536924,-0.057142887,pp
-0.21666667,-0.47058818,0.0,0.0,0.5999998,0.8053692,0.99999994,im
-0.4166667,0.23529409,0.0,0.0,-0.4666668,-0.080536924,-0.19999999,cp
1.3166667,0.41176486,0.0,0.0,0.1333332,0.72483236,0.9428571,im
-0.3166667,-0.117646955,0.0,0.0,0.1999998,0.10738262,0.37142855,cp
-0.5166667,-0.117646955,0.0,0.0,0.1999998,-0.26845637,0.028571403,cp
-0.8833333,-0.94117653,0.0,0.0,0.4,-0.53691274,-0.22857147,cp
0.24999997,0.6470588,0.0,0.0,-0.6666668,0.05369131,-0.28571427,pp
0.8166667,2.0000002,0.0,0.0,0.0,0.10738262,-0.057142887,pp
-0.45,0.3529414,0.0,0.0,-0.5333334,-0.18791945,0.08571429,cp
0.65000004,1.0588238,0.0,0.0,-0.5333334,0.13422823,-0.51428574,pp
-1.0833334,-0.52941185,0.0,0.0,0.2666664,-0.40268454,-0.114285775,cp
0.4833333,1.4117651,0.0,0.0,0.0,-0.080536924,-0.6857143,pp
0.58333343,-0.52941185,0.0,0.0,-0.8666666,-0.18791945,0.08571429,cp
-0.8166667,-0.6470588,0.0,0.0,-0.5333334,-0.3221476,-0.028571486,cp
0.45,3.0588236,0.0,0.0,-0.9333334,0.16107385,0.17142858,pp
-0.18333337,0.47058836,0.0,0.0,0.0666666,0.026845694,0.31428576,cp
-0.8166667,0.0,0.0,0.0,-0.3333334,-0.7516778,-0.40000007,cp
0.45,1.0,0.0,0.0,-0.6666668,-0.026845613,-0.22857147,pp
-0.38333338,-0.117646955,0.0,0.0,-0.0666668,-0.6174497,-0.40000007,cp
-0.6833334,-1.0588235,0.0,0.0,-0.2666668,-1.1275169,-0.7428571,cp
0.8833333,1.3529413,0.0,0.0,0.0666666,0.6979866,0.9142857,imU
-0.65000004,-0.23529409,0.0,0.0,0.0,-0.6174497,-0.28571427,cp
-0.38333338,-0.23529409,0.0,0.0,-0.4,-0.67114097,-0.34285715,cp
-0.7833334,0.117647134,0.0,0.0,-0.3333334,-0.3489933,-0.057142887,cp
-0.95000017,-0.82352936,0.0,0.0,0.1333332,-0.45637584,-0.114285775,cp
0.24999997,-0.5882353,0.0,0.0,-2.8666666,0.10738262,-0.28571427,imU
0.4166667,-0.35294122,0.0,0.0,0.5999998,0.91275185,1.0857143,imU
-0.35000008,-0.41176468,0.0,0.0,0.1999998,0.72483236,0.9142857,im
-0.3166667,-0.35294122,0.0,0.0,-0.8,-0.48322144,-0.45714286,cp
0.08333326,1.9411767,0.0,0.0,1.5333334,-0.18791945,-0.14285718,om
-0.98333347,-0.23529409,0.0,0.0,-0.2,0.16107385,0.39999998,cp
0.68333334,-0.117646955,0.0,0.0,0.4666666,0.88590604,0.8571429,im
-0.08333336,-1.1764706,0.0,0.0,0.4666666,-0.67114097,-0.51428574,cp
-0.21666667,0.6470588,0.0,0.0,0.1999998,0.10738262,0.37142855,pp
-0.5166667,-0.8823529,0.0,0.0,-0.7333334,-0.26845637,0.028571403,cp
0.68333334,-0.47058818,0.0,0.0,0.4666666,1.1006713,1.1428571,im
-0.75,-0.7647059,0.0,0.0,0.1333332,0.85906047,1.0285715,im
0.7833334,1.7647059,0.0,0.0,0.5999998,0.16107385,-0.34285715,pp
-0.45,0.47058836,0.0,0.0,-0.4,0.0,0.28571418,cp
0.58333343,1.2941177,0.0,0.0,-0.2,0.0,-0.28571427,pp
-0.7833334,-1.2941177,0.0,0.0,-1.0,-0.53691274,-0.22857147,cp
-0.3166667,-0.117646955,0.0,0.0,-0.4666668,-0.26845637,0.028571403,cp
-1.1166668,-0.29411757,0.0,0.0,0.3333334,-0.48322144,-0.17142858,cp
-0.35000008,-1.0,0.0,0.0,-0.7333334,-0.295302,0.0,cp
-0.6833334,-0.058823477,0.0,0.0,-0.5333334,-0.590604,-0.25714287,cp
-0.8833333,0.5882353,0.0,0.0,-0.8,0.21476507,0.45714277,cp
0.38333338,0.7058826,0.0,0.0,-0.3333334,-0.16107385,-0.14285718,pp
0.98333347,0.3529414,0.0,0.0,0.0666666,0.56375855,0.71428573,imU
0.68333334,0.29411757,0.0,0.0,1.3999999,1.1006713,1.2571429,imU
0.71666664,0.23529409,0.0,0.0,0.9999998,1.4765102,1.6,im
-0.85,-0.7647059,0.0,0.0,-1.2,-0.6979866,-0.34285715,cp
0.21666667,1.1764708,0.0,0.0,1.8666664,-0.24161069,0.057142805,om
0.65000004,0.6470588,0.0,0.0,-0.2,-0.026845613,0.25714278,pp
-0.016666653,0.7647061,0.52,0.0,0.4666666,0.6979866,0.8857143,imU
-0.18333337,-1.1764706,0.0,0.0,-0.4,-0.48322144,-0.17142858,cp
-0.08333336,0.41176486,0.0,0.0,0.5999998,0.6979866,0.9142857,im
0.45,0.058823653,0.0,0.0,0.3333334,0.83221483,1.0285715,imS
-0.2833334,0.52941185,0.0,0.0,-0.6666668,-0.64429533,-0.31428576,cp
0.61666673,0.88235307,0.0,0.0,1.6,-0.13422816,-0.37142855,om
0.61666673,2.0000002,0.0,0.0,-0.7333334,0.53691274,0.37142855,pp
0.7500001,2.2352943,0.0,0.0,-2.1333332,0.26845646,-0.62857145,pp
-1.2500001,-0.29411757,0.0,0.0,0.9333332,0.67114097,0.8857143,im
0.08333326,0.3529414,0.0,0.0,0.8666666,0.83221483,1.0285715,im
0.55000013,0.29411757,0.0,0.0,0.6666664,0.56375855,0.65714294,im
0.31666657,-1.1176472,0.0,0.0,0.9999998,0.8053692,0.9714285,imU
-0.4166667,-0.23529409,0.0,0.0,-0.4666668,-0.16107385,0.11428569,cp
0.8166667,1.529412,0.0,0.0,-1.2,0.21476507,0.25714278,pp
0.58333343,2.1176472,0.0,0.0,1.6666666,0.24161084,-0.17142858,om
0.58333343,1.9411767,0.0,0.0,0.3333334,0.10738262,-0.5714286,pp
-0.8833333,-0.47058818,0.0,0.0,-0.6666668,-0.45637584,-0.14285718,cp
0.38333338,0.23529409,0.0,0.0,0.3333334,0.5906041,0.25714278,im
-0.6833334,0.23529409,0.0,0.0,-0.4666668,-0.42953023,-0.114285775,cp
0.98333347,-0.70588225,0.0,0.0,-0.2,0.9932887,0.7714285,imU
-0.5166667,0.41176486,0.0,0.0,0.5999998,-0.3758389,-0.057142887,cp
0.58333343,0.41176486,0.52,0.0,1.1333334,0.3489933,-0.77142864,omL
0.7833334,-1.2941177,0.0,0.0,0.5333332,0.8053692,0.99999994,imU
0.61666673,0.17647061,0.0,0.0,1.4666665,0.8053692,0.99999994,im
0.45,0.117647134,0.0,0.0,0.6666664,1.0738257,1.2285714,im
-0.65000004,-0.6470588,0.0,0.0,0.6666664,-0.107382536,0.17142858,cp
-0.75,-0.35294122,0.0,0.0,-0.8,-0.18791945,0.0,cp
0.45,-0.35294122,0.0,0.0,-0.0666668,0.85906047,1.0571429,imU
0.38333338,1.5882355,0.0,0.0,0.1333332,-0.3221476,-0.28571427,om
-1.45,0.7647061,0.0,0.0,0.0,1.2617451,-0.17142858,im
0.9166666,0.41176486,0.0,0.0,0.1333332,0.88590604,0.8857143,imU
-1.2500001,1.1176473,0.0,0.0,1.6666666,0.3489933,0.57142854,im
-0.2833334,0.0,0.0,0.0,0.1333332,-0.026845613,0.22857139,cp
-0.8166667,-0.47058818,0.0,0.0,-0.1333334,-0.3221476,-0.028571486,cp
0.4833333,1.7647059,0.0,0.0,0.0666666,-0.24161069,-0.14285718,pp
1.0500001,0.29411757,0.0,0.0,0.5333332,1.1275169,1.2857143,imU
-0.4166667,-0.058823477,0.0,0.0,-0.6666668,0.83221483,1.0285715,im
0.85,0.41176486,0.52,0.5,-0.6,0.05369131,-0.37142855,imL
1.1166667,0.0,0.0,0.0,1.0666664,0.83221483,1.0285715,imU
0.9499999,-0.23529409,0.0,0.0,-0.2666668,0.751678,0.71428573,imU
-0.8833333,-0.8823529,0.0,0.0,-0.4,-0.3221476,0.0,cp
0.58333343,1.9411767,0.0,0.0,-1.6,-0.080536924,-0.51428574,pp
0.4166667,2.0588236,0.0,0.0,-0.2,-0.24161069,-0.08571429,pp
0.45,0.52941185,0.0,0.0,0.0,0.67114097,-0.6571429,pp
-0.45,-0.41176468,0.0,0.0,-0.0666668,0.05369131,0.31428576,cp
1.0500001,-0.23529409,0.0,0.0,-0.4666668,0.5906041,0.71428573,imU
-0.050000053,-0.35294122,0.0,0.0,-0.2666668,-0.53691274,-0.22857147,cp
0.18333337,-0.058823477,0.0,0.0,0.5333332,0.88590604,1.0571429,im
-0.21666667,-0.47058818,0.0,0.0,-0.6666668,-0.45637584,-0.114285775,cp
-0.08333336,-1.1176472,0.0,0.0,0.1333332,-0.3221476,0.0,cp
0.35000008,-0.117646955,0.0,0.0,-0.2666668,0.96644306,1.1428571,im
0.28333327,0.41176486,0.0,0.0,0.5333332,0.67114097,0.8857143,im
-0.08333336,0.6470588,0.0,0.0,0.1999998,0.83221483,1.0285715,im
0.4833333,-0.117646955,0.0,0.0,-0.0666668,0.751678,0.9428571,imU
0.049999956,0.117647134,0.0,0.0,-0.2,-0.3489933,-0.22857147,cp
-0.45,-0.52941185,0.0,0.0,-0.0666668,-0.6174497,-0.5714286,cp
-0.050000053,-0.41176468,0.0,0.0,0.1333332,1.2080537,1.2857143,im
0.35000008,0.7647061,0.0,0.0,0.3333334,0.5906041,0.79999995,im
-0.8166667,-1.2941177,0.0,0.0,-0.6666668,-0.3489933,-0.028571486,cp
-0.5166667,-0.17647061,0.0,0.0,-0.7333334,-0.56375843,-0.22857147,cp
0.049999956,0.058823653,0.0,0.0,0.2666664,-0.83221483,-0.48571435,cp
0.65000004,-0.52941185,0.0,0.0,0.5333332,0.83221483,1.0285715,im
0.15000007,0.52941185,0.0,0.0,0.4666666,0.96644306,1.1428571,im
-0.61666673,-0.23529409,0.0,0.0,0.0666666,0.91275185,1.1142857,im
0.58333343,2.3529413,0.0,0.0,1.6,0.13422823,-0.51428574,om
-0.58333343,-0.8823529,0.0,0.0,0.7333334,-1.0469799,-0.6571429,cp
0.11666656,-0.5882353,0.0,0.0,-0.3333334,-0.51006716,-0.19999999,cp
0.31666657,0.7647061,0.0,0.0,-0.4666668,-0.080536924,-0.17142858,pp
-0.016666653,-0.29411757,0.0,0.0,0.0,-0.40268454,-0.08571429,cp
-0.61666673,0.117647134,0.0,0.0,0.5333332,1.0469799,1.2,im
1.2833334,-0.35294122,0.0,0.0,0.1999998,0.751678,0.9142857,imU
-0.5166667,0.17647061,0.0,0.0,-0.3333334,-0.21476507,0.08571429,cp
0.71666664,2.2352943,0.0,0.0,-0.6,0.24161084,-0.31428576,pp
-0.050000053,0.058823653,0.0,0.0,0.1999998,0.85906047,0.79999995,im
-0.5166667,0.058823653,0.0,0.0,0.5999998,1.0738257,1.0571429,im
0.08333326,-0.70588225,0.0,0.0,-0.5333334,-0.45637584,-0.14285718,cp
0.21666667,0.3529414,0.0,0.0,-0.4,-0.21476507,-0.37142855,pp
0.5166666,0.17647061,0.0,0.0,1.1333334,0.24161084,-0.28571427,om
0.7500001,-0.35294122,0.0,0.0,1.0666664,0.85906047,1.0285715,imU
1.2500001,0.058823653,0.0,0.0,0.8,0.83221483,1.0285715,imU
0.08333326,0.52941185,0.0,0.0,-0.4666668,0.05369131,0.31428576,cp
0.4833333,1.647059,0.0,0.0,-0.2666668,-0.26845637,-0.14285718,cp
0.4833333,-0.17647061,0.0,0.0,1.2,0.4295303,0.65714294,imU
0.016666653,0.058823653,0.0,0.0,0.0,0.026845694,0.28571418,cp
-0.58333343,-0.35294122,0.0,0.0,-0.9333334,-0.45637584,-0.14285718,cp
0.45,1.3529413,0.0,0.0,0.7333334,-0.13422816,-0.114285775,pp
-0.65000004,-0.6470588,0.0,0.0,-0.4,-0.72483224,-0.37142855,cp
0.4833333,2.1176472,0.0,0.0,-0.8,0.0,-0.08571429,pp
-0.85,-0.82352936,0.0,0.0,-0.7333334,-0.40268454,-0.08571429,cp
0.049999956,-0.6470588,0.0,0.0,-0.9333334,-0.24161069,0.057142805,cp
-0.6833334,-0.41176468,0.0,0.0,-0.0666668,-0.18791945,0.08571429,cp
0.8166667,1.7647059,0.0,0.0,1.7333332,0.24161084,-0.8,om
0.38333338,-0.17647061,0.0,0.0,-0.0666668,-0.26845637,-0.057142887,cp
1.15,0.058823653,0.0,0.0,0.4,0.88590604,0.8857143,imU
-0.08333336,-0.058823477,0.0,0.0,-1.8,-0.7785235,-0.48571435,cp
0.71666664,-0.117646955,0.52,0.0,0.1999998,0.3758389,-0.37142855,omL
-0.38333338,-0.47058818,0.0,0.0,0.9333332,-0.53691274,-0.22857147,cp
-0.91666675,-0.82352936,0.0,0.0,-0.4666668,-0.42953023,-0.114285775,cp
0.4166667,1.7647059,0.0,0.0,-0.1333334,0.10738262,0.31428576,pp
1.1833335,0.29411757,0.0,0.0,0.2666664,0.18791945,-0.22857147,imS
0.61666673,1.7647059,0.0,0.0,-0.4,-0.026845613,-0.028571486,pp
0.45,0.058823653,0.0,0.0,2.0,0.0,-0.42857146,om
-0.11666666,0.6470588,0.0,0.0,-0.8666666,0.83221483,-0.5714286,im
0.45,0.3529414,0.0,0.0,1.0666664,0.91275185,1.0857143,im
-0.4833334,-0.82352936,0.0,0.0,-0.2,-0.40268454,-0.45714286,cp
0.28333327,0.7058826,0.0,0.0,0.6666664,0.751678,0.9428571,imU
0.4833333,1.0588238,0.0,0.0,-0.5333334,-0.16107385,-0.6571429,pp
0.4833333,0.52941185,0.0,0.0,1.3999999,-0.3221476,-0.48571435,om
0.35000008,1.647059,0.52,0.0,1.8666664,0.3758389,0.25714278,om
-0.3166667,-1.1176472,0.0,0.0,-0.4666668,-0.26845637,0.028571403,cp
-0.85,0.52941185,0.0,0.0,0.9333332,-0.295302,0.0,cp
0.31666657,0.058823653,0.0,0.0,0.1999998,0.0,-0.19999999,cp
0.016666653,1.0588238,0.0,0.0,-1.2,1.2617451,1.4000001,im
-1.2833334,0.117647134,0.0,0.0,0.5999998,0.72483236,0.71428573,im
-0.6833334,-0.058823477,0.0,0.0,1.4666665,0.53691274,0.7428571,im
0.35000008,0.117647134,0.52,0.0,0.3333334,0.85906047,1.0571429,im
-0.85,-0.29411757,0.0,0.0,0.3333334,0.18791945,0.45714277,cp
-0.7833334,-0.47058818,0.0,0.0,-0.8666666,-0.51006716,-0.17142858,cp
-0.18333337,-0.35294122,0.0,0.0,-0.4666668,-0.53691274,-0.6571429,cp
-1.6500001,0.17647061,0.0,0.0,-0.9333334,0.5906041,0.028571403,im
-0.65000004,-0.17647061,0.0,0.0,-0.8666666,-0.64429533,-0.31428576,cp
0.049999956,0.3529414,0.0,0.0,-0.5333334,-0.295302,0.0,cp
0.15000007,0.058823653,0.0,0.0,-0.6,1.1275169,1.2857143,im
-0.18333337,-0.7647059,0.0,0.0,-0.3333334,0.18791945,0.45714277,cp
-0.61666673,-0.058823477,0.0,0.0,-1.3333334,-0.45637584,-0.114285775,cp
-0.45,-0.17647061,0.0,0.0,-0.7333334,0.91275185,-0.7428571,im
0.45,1.5882355,0.0,0.0,0.9999998,0.751678,0.65714294,im
-0.65000004,-1.8823531,0.0,0.0,0.4666666,-0.9127517,-0.5714286,cp
0.45,1.8823532,0.0,0.0,-0.2,-0.3758389,-0.40000007,pp
-1.0833334,-0.5882353,0.0,0.0,-0.2666668,-0.080536924,0.19999999,cp
-0.18333337,0.23529409,0.0,0.0,-0.4,0.05369131,0.31428576,im
-0.8166667,0.17647061,0.0,0.0,-0.8,-0.080536924,0.19999999,cp
0.68333334,-0.52941185,0.52,0.0,0.1333332,0.9932887,1.1714284,imL
-0.016666653,-1.1176472,0.0,0.0,0.4666666,-0.56375843,-0.22857147,cp
-1.1166668,0.17647061,0.0,0.0,-1.0666666,-0.16107385,0.14285709,im
0.45,2.2352943,0.0,0.0,-0.6666668,0.05369131,-0.25714287,pp
0.85,2.1176472,0.0,0.0,-0.9333334,0.18791945,-0.28571427,pp
0.8833333,1.4705886,0.0,0.0,-0.3333334,-0.16107385,-0.114285775,pp
-0.5166667,0.17647061,0.0,0.0,1.2,1.2080537,1.3428571,im
0.016666653,-0.6470588,0.0,0.0,1.1333334,0.51006716,0.7428571,im
-0.61666673,-0.70588225,0.0,0.0,0.5999998,1.3154364,1.4571428,im
0.58333343,-0.6470588,0.0,0.0,0.3333334,0.51006716,0.71428573,imU
0.45,-0.058823477,0.0,0.0,0.1333332,0.9932887,1.1714284,im
-1.5166668,-1.0,0.0,0.0,-0.5333334,-0.42953023,-0.114285775,cp
-0.11666666,0.7647061,0.0,0.0,-0.0666668,1.1006713,1.2571429,im
0.5166666,0.41176486,0.0,0.0,-1.0,-0.21476507,-0.42857146,cp
-0.2500001,-0.7647059,0.0,0.0,0.5999998,-0.80536914,-0.45714286,cp
-0.58333343,-0.52941185,0.0,0.0,0.2666664,-0.45637584,-0.14285718,pp
-0.45,-0.058823477,0.0,0.0,0.1333332,0.6442954,0.8285715,im
-0.18333337,-0.7647059,0.0,0.0,0.4,0.26845646,0.51428574,cp
0.68333334,1.3529413,0.0,0.0,-0.4666668,1.0469799,1.2,pp
-0.8166667,-0.6470588,0.0,0.0,-0.4,-0.51006716,-0.19999999,cp
-0.8166667,-0.47058818,0.0,0.0,-0.2,-0.026845613,0.25714278,cp
0.45,1.2352942,0.0,0.0,1.0666664,-0.107382536,-0.42857146,om
0.15000007,-0.058823477,0.0,0.0,-1.4,-0.3221476,-0.028571486,cp
-0.4833334,0.0,0.0,0.0,0.4666666,-0.13422816,0.14285709,cp
-0.15000007,-0.47058818,0.0,0.0,0.8,0.7785236,0.9714285,im
-0.2833334,-0.29411757,0.0,0.0,-0.2666668,-0.3758389,-0.057142887,cp
0.7500001,-0.117646955,0.0,0.0,0.1333332,0.56375855,0.7714285,im
0.65000004,0.6470588,0.0,0.0,1.8666664,-0.16107385,-0.62857145,om
-0.55,-0.17647061,0.0,0.0,-0.2666668,1.1543626,1.3142856,im
0.8166667,2.4705884,0.0,0.0,0.5333332,0.21476507,-0.40000007,om
-0.08333336,-0.117646955,0.0,0.0,0.8666666,0.7785236,0.9714285,imU
-0.050000053,-0.17647061,0.0,0.0,0.7333334,0.88590604,1.0571429,im
0.61666673,0.058823653,0.52,0.0,0.8666666,0.26845646,-0.42857146,omL
0.55000013,0.0,0.0,0.0,0.3333334,0.67114097,0.8857143,imU
0.8166667,-0.058823477,0.0,0.0,0.0666666,0.3221477,-0.028571486,pp
-0.4166667,0.117647134,0.0,0.0,-0.4666668,-0.24161069,0.057142805,cp
0.85,-0.6470588,0.0,0.0,0.9999998,0.67114097,0.8857143,imU
-0.6833334,-0.52941185,0.0,0.0,0.1999998,-0.13422816,0.14285709,pp
-0.18333337,-1.2352941,0.0,0.0,0.4,0.18791945,0.42857137,cp
-0.38333338,-1.0588235,0.0,0.0,-0.4,-0.42953023,-0.114285775,cp
-0.5166667,-0.7647059,0.0,0.0,0.1333332,0.10738262,0.37142855,cp
0.45,2.0588236,0.0,0.0,-0.6,-0.16107385,-0.6857143,pp
0.049999956,-0.47058818,0.0,0.0,0.5333332,0.45637593,0.6857143,im
0.21666667,-0.47058818,0.0,0.0,0.0,-0.21476507,0.08571429,cp
-0.35000008,-0.94117653,0.0,0.0,-0.2,-0.56375843,-0.22857147,cp
-0.55,-0.6470588,0.0,0.0,-0.2,0.53691274,0.7428571,im
-0.55,-0.17647061,0.0,0.0,0.1999998,-0.3489933,-0.057142887,cp
0.71666664,1.3529413,0.0,0.0,1.2666667,-0.053691227,-0.19999999,om
0.55000013,2.2352943,0.0,0.0,-1.0,-0.107382536,-0.19999999,pp
0.61666673,1.647059,0.0,0.0,2.333333,0.0,-0.45714286,om
-0.55,0.47058836,0.0,0.0,-1.0666666,0.88590604,1.0571429,im
-0.95000017,0.17647061,0.0,0.0,0.0666666,-0.3489933,-0.057142887,cp
-0.6833334,-0.6470588,0.0,0.0,-0.0666668,-0.026845613,0.25714278,cp
1.2166668,-0.52941185,0.0,0.0,0.6666664,1.1812081,1.3428571,imU
-0.2500001,-1.4117647,0.0,0.0,0.5333332,-0.48322144,-0.17142858,cp
0.24999997,0.3529414,0.0,0.0,-0.8,-0.45637584,-0.28571427,cp
0.38333338,-0.058823477,0.0,0.0,-3.2666667,0.9395974,-0.31428576,im
-0.6833334,-1.1764706,0.0,0.0,-0.3333334,-0.590604,-0.25714287,cp
0.9166666,0.52941185,0.52,0.0,-0.8,0.24161084,-1.2,omL
-0.2500001,-0.47058818,0.0,0.0,0.4666666,-0.72483224,-0.37142855,cp
